i,Title,Author,Publisher,Subjects,found_isbn,source
10971,Die Roemischen Mosaiken in Deutschland /,"Parlasca, Klaus",W de Gruyter und Co,mosaïque romaine antique--Allemagne; mosaïque romaine antique--Germanie,,None
11023,Le temps des prisons : essai sur l'histoire de la délinquance et les origines du système pénitentiaire /,"Deyon, Pierre",Ed Universitaires; Université de Lille III,criminalité--système pénitentiaire--France--1670 / 1870; droit pénal--France--1670 / 1870,,None
11075,Cette école d'art : de l'Ecole cantonale de dessin à l'Ecole cantonale des beaux-arts et d'art appliqué de Lausanne,nan,Imprimerie Roth et Sauter; Institut d'étude et de recherche en information visuelle,ECOLE CANTONALE D'ART DE LAUSANNE: ECAL (VD. LAUSANNE); ENSEIGNEMENT DU CINEMA; LAUSANNE,,None
11076,L'Hôpital de Cery : 1873-1973 /,"Secrétan, Claude",Payot,"Hôpital de Cery (Prilly)--1873 / 1973; Hospitals, Psychiatric--history; Switzerland",,None
11079,Louis Rivier et les peintures décoratives de l'aula du Palais de Rumine à Lausanne /,"Rivier, Louis 1885-1963",Librairie centrale et universitaire F Haeschel-Dufey,"Rivier, Louis - peinture murale--Lausanne (Suisse, VD) - Palais de Rumine - Aula--1915 / 1923",,None
11120,Code des obligations : [du 30 mars 1911 (état le 1er janvier 2023)] /,nan,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion,,None
11171,"Conjudingo CE1 : 3 jeux de conjugaison : bataille, mistigri, rami /","Lagoda Patingre, Claire",Aritma; Cocktail Games,Français (langue)--Conjugaison; Jeux éducatifs,,None
11178,Mémoires de ma vie /,"Rémusat, Charles de",Plon,"Constant de Rebecque, Benjamin--[document]",,None
11179,Correspondance de M. de Rémusat pendant les premières années de la Restauration /,"Rémusat, Charles de",Calmann Lévy,,,None
11180,"Le comte Molé : 1781-1855 : sa vie, ses mémoires /","Noailles, Hélie Guillaume Hubert de",Champion,"Molé, Louis-Mathieu--[biographie]",,None
11201,Le ballon de Manon et la corde à sauter de Noé : guide pour prévenir les discriminations et les violences de genre destiné au corps enseignant du primaire et aux professionnel-le-s de l'enfance /,"Nanjoud, Bulle",le Deuxième Observatoire,Lutte contre le racisme; Racisme en éducation; Enseignement primaire; Égalité des sexes; Discrimination en éducation--Lutte contre; Violence en milieu scolaire--Lutte contre,,None
11244,Lausanne 1860-1910 : vie quotidienne /,"Polla, Louis",Payot,"vie quotidienne--Lausanne (Suisse, VD)--1860 / 1910--[photographies]; Lausanne (Suisse, VD)--19e siècle",,None
11279,Jeux vocaux et chant choral : guide pédagogique /,"Bourdot, Marie-Françoise",Nathan,Jeux musicaux; Chant; Étude et enseignement; [Partitions],,None
11280,Jeux vocaux et chant choral en 20 séances /,"Bourdot, Marie-Françoise",Nathan; Paris,Musique--Étude et enseignement; Chant choral; Jeux musicaux,,None
11305,"Ville et seigneurie : les chartes de franchise des comtes de Savoie, fin XIIe siècle - 1343 /","Mariotte-Löber, Ruth",Académie Florimontane,autonomie politique--charte de franchises--ville--Savoie (comté)--12e s. (fin) / 1343,,None
11331,Tsahal : les légions d'Israël : des milices paysannes à la puissance nucléaire /,"Benaudis, Jacques",Ed Ramsay,Israël.--Armée--1882 / 1984,,None
11359,"La sorcellerie comme exutoire : tensions et conflits locaux: Dommartin, 1524-1528 /","Choffat, Pierre-Han",Section d'histoire Faculté des Lettres Université de Lausanne,"Sorcellerie--Dommartin (Suisse, VD)--16e siècle; Conflits d'intérêts--Dommartin (Suisse, VD)--16e siècle; conflit d'intérêts--procès--sorcellerie--Dommartin (Suisse, VD)--1524 / 1528; Sorcellerie--Procès--Suisse--Dommartin (Suisse, VD)--16e siècle",,None
11380,"J'explore ma ville ! : guide illustré de promenades lausannoises à suivre à l'école ou en famille, dès 7 ans /","Nikles, Floriane",F Nikles,"Randonnée pédestre--Lausanne (Suisse, VD)",,None
11395,Jean-Pierre de Crousaz et le conflit des idées au siècle des Lumières /,"La Harpe, Jacqueline de",Giard; Droz,"Crousaz, Jean-Pierre de",,None
11396,"Deux héroïnes de la foi : Blanche Gamond, Jeanne Terrasson : récits du XVIIe siècle /",nan,Librairie Desrogis; J Sandoz; Sandoz et Fischbacher,persécution--protestantisme--France--17e s.--[document],,None
11408,"Construire une exposition / Eine Ausstellung bauen / hrsg. unter Mitw. der Landesausstellung, Leitung Alberto Camenzind = Building an exhibition : Lausanne 1964 / publ. in collaboration with the National Exhibition, under the direction of Alberto Camenzind",nan,Libr Marguerat,,,None
11412,Les confessions de saint Augustin dans la tradition littéraire : antécédents et postérité /,"Courcelle, Pierre",Etudes augustiniennes,"Augustin--(saint).--""Confessions"" - influence exercée",,None
11413,Geschichte der Autobiographie /,"Misch, Georg",G Schulte-Bulmke,,,None
11416,Le tournant d'une vie /,nan,Université Paris X,autobiographie--[congrès]; crise (psychologie)--cycle de vie--[congrès]; crise (psychologie)--vie humaine--[congrès],,None
11445,Nouveau Cabinet des Fées,nan,Slatkine reprints,,,None
11448,Etudes sur le poème allégorique en France au moyen âge /,"Jung, Marc-René",Francke,allégorie--poésie française--Moyen-Âge,,None
11454,Les remèdes à l'amour ; Les produits de beauté pour le visage de la femme /,"Ovidius Naso, Publius",Les Belles Lettres,,,None
11455,Oeuvres choisies /,"Lǔ, Xùn",Editions en langues étrangères,,,None
11468,Histoire de la révolution de 1848 /,"Garnier-Pagès, Louis-Antoine, 1803-1878",Pagnerre,révolution de 1848 en France; révolutions de 1848,,None
11475,"La vie lausannoise au XVIIIe siècle : d'après Jean Henri Polier de Vernand, lieutenant baillival /","Morren, Pierre",Labor et Fides,"Lausanne (Suisse, VD)--18e siècle; Lausanne (Suisse, VD)--1754 / 1791",,None
11490,"Das spätrömisch-frühmittelalterliche Gräberfeld von Kaiseraugst, Kt. Aargau /","Martin, Max, 1939-",Habegger,nécropole romaine antique--Kaiseraugst (Suisse)--4e s. / 5e s.; nécropole romaine antique--Kaiseraugst (Suisse)--4e s. / 5e s.--[catalogue]; nécropole--Kaiseraugst (Suisse)--6e s. / 7e s.; nécropole--Kaiseraugst (Suisse)--6e s. / 7e s.--[catalogue],,None
11495,Arrangiarsi : the italian immigration experience in Canada /,nan,Guernica,immigration italienne--Canada--19e s. / 20e s.--[études diverses],,None
11508,Malaparte /,"Malaparte, Curzio, 1898-1957",Famiglie Suckert e Ronchi,,9781619020610,Google
11511,"Immagini e miti nello ""Chevalier errant"" di Tommaso III di Saluzzo : atti del convegno, Torino, Archivio di Stato, 27 settembre 2008 /",nan,Società per gli studi storici della provincia di Cuneo,"Thomas,--marquis de Saluces--III--ca. 1356-1416--[Congresses].--Chevalier errant; Thomas--(marquis de Saluces ;--3).--""Le chevalier errant""--[congrès]; Chivalry in literature--[Congresses]; Epic poetry, French--History and criticism--[Congresses]",,None
11523,Malaparte /,"Malaparte, Curzio, 1898-1957",Famiglie Suckert e Ronchi,,9781619020610,Google
11541,On acute diseases ; and On chronic diseases /,Caelius Aurelianus,The University of Chicago Press,,9781016489331,OpenLibrary
11545,Découvre ta ville en t'amusant : Lausanne /,"Corajoud, Pierre",P Corajoud,"enfant--randonnée pédestre--Lausanne (Suisse, VD)--[guide]; enfant--Lausanne (Suisse, VD)--[manuel]",,None
11546,"F.B. de Félice, 1723-1789 et son Encyclopédie : Yverdon 1770-1780 : (d'après des documents inédits) /","Maccabez, Eugène",Impr E Birkhäuser; éditeur non identifié,"De Felice, Fortunato Bartolomeo; De Felice, Fortunato Bartolomeo--""Encyclopédie d'Yverdon""",,None
11566,"Société suisse de radiodiffusion et télévision, 1931-1970 /","Pünter, Otto",SSR,Société suisse de radiodiffusion et télévision (Suisse)--1931 / 1970; télévision--Suisse--1931 / 1970; radiodiffusion--Suisse--1931 / 1970; SUISSE; RADIODIFFUSION; TELEVISION,,None
11567,Fées du logis : l'enseignement ménager dans le Canton de Vaud de 1834 à 1984 /,"Schibler, Tamlin",Swiss Printers IRL; Bibliothèque historique vaudoise,,,None
11615,Recueil Général des Isopets.,nan,Société des anciens textes français,,,None
11620,Le martyre de la légion thébaine : essai sur la formation d'une légende /,"Berchem, Denis van",F Reinhardt,légende--Maurice (saint),,None
11628,Péguy et le monde moderne /,"Vadé, Yves",l'Amitié Charles Péguy,"Péguy, Charles--France--1896 / 1914",,None
11681,"Nabucco, Verdi",nan,L'Avant-scène Opéra,"Verdi, Giuseppe.--""Nabucco""",,None
11682,La fête du potiron ; Le crime est notre affaire /,"Christie, Agatha, 1890-1976",Edito-Service,,,None
11686,Organisation judiciaire et procédure devant les cours laïques du Pays de Vaud à l'époque savoyarde (XIIIe-XVIe siècle) /,"Gallone, Paolo",éditeur non identifié,organisation judiciaire--Vaud (Suisse)--13e s. / 16e s.,,None
11744,Lectures Courantes Extraites des Écrivains Français /,nan,,,,None
11766,Les ivoires gothiques français /,"Koechlin, Raymond, 1860-1931",A Picard,,,None
11767,Fiches d'activités expérimentales de sciences physiques : TP Doc /,nan,CRDP Midi-Pyrénées; Rectorat de l'Académie de Toulouse,,,None
11773,La région lausannoise avant l'an mil,nan,Archives de la ville de Lausanne,"préhistoire--Lausanne (Suisse, région, VD)--* archéologie--[études diverses]; Lausanne (Suisse, région, VD)--* archéologie--époque des conquêtes romaines / Bas Empire--[études diverses]; Lausanne (Suisse, région, VD)--* archéologie--Moyen-Âge (Haut)--[études diverses]",,None
11775,"La Maison d'Amour et des Saisons : construction et décor d'un quartier d'Avenches : l' ""insula"" 10 Est et la peinture murale d'époque sévérienne /","Fuchs, Michel archéologue 1957-....",éditeur non identifié,"peinture romaine antique--Avenches (Suisse, VD) - Insula 10 est--Sévères",,None
11781,Hymnes /,Homerus,Les Belles Lettres,,9780404153090,OpenLibrary
11839,Miscellanea Gibboniana /,"Gibbon, Edward, 1737-1794",F Rouge,"gouvernement--Berne (Suisse, canton)--Vaud (Suisse)--1763 / 1764--[document]; Suisse--1755--[récit de voyage]; Paris (France)--1763--[récit de voyage]",9782600055703,Google
11840,Gibbon's journey from Geneva to Rome : his journal from 20 April to 2 October 1764 /,"Gibbon, Edward, 1737-1794",T Nelson,Italie--1764--[récit de voyage],,None
11841,The letters of Edward Gibbon /,"Gibbon, Edward, 1737-1794",Cassell,"Gibbon, Edward--[correspondance]",9780304923151,OpenLibrary
11842,Edward Gibbon et le mythe de Rome : histoire et idéologie au siècle des lumières /,"Baridon, Michel, 1926-2009",Service de reprod des thèses,"Gibbon, Edward.--""The decline and fall of the Roman Empire""",,None
11846,Corpus basilicarum christianarum Romae : le basiliche paleocristiane di Roma : Sec. IV-IX /,"Krautheimer, Richard",Institute of Fine Arts New York University; Pontificio Istituto di archeologia cristiana,"basilique--Rome (Italie, ville)--paléochrétien",,None
11853,Guillaume Tell et la libération des Suisses /,nan,Société d'Histoire de la Suisse romande,Guillaume Tell--[document]; mythe--Guillaume Tell--Suisse--[études diverses]; légende suisse--sources (littérature)--Guillaume Tell--[études diverses],,None
11913,La Source en images : 150 ans d'histoire 1859 / 2009 /,"Francillon, Denise",Atelier Grand; Ed La Source,"Ecole La Source (Lausanne)--1859 / 2009; infirmière--profession--1959 / 2009; Schools, Nursing--history; Switzerland; Soins infirmiers - Soins à domicile",,None
11940,"Gertrude Fehr ou la naissance d'une école : exposition au Musée suisse de l'appareil photographique pour le cinquantième anniversaire de l'Ecole de photographie de Vevey, du 21 juin au 10 septembre 1995 /",nan,Impr Gerber & Daengeli; Musée suisse de l'appareil photographique,"Fehr, Gertrude--Ecole de photographie (Vevey)--[catalogue d'exposition]",,None
11946,Théâtre complet /,"Witkiewicz, Stanisław Ignacy, 1885-1939",La Cité - L'Age d'homme,,,None
11988,"Nullité de mariage, divorce et séparation de corps à Genève, au temps de Calvin : fondements doctrinaux, loi et jurisprudence /","Seeger, Cornelia",Meta,"mariage - nullité--Calvin, Jean--Genève (Suisse, ville)--1536 / 1564; divorce--Calvin, Jean--Genève (Suisse, ville)--1536 / 1564; séparation de corps--Calvin, Jean--Genève (Suisse, ville)--1536 / 1564",,None
12073,Partie générale du Code fédéral des obligations /,"Tuhr, Andreas von",Impr G Vaney-Burnier; éditeur non identifié,obligations (droit)--Suisse--[commentaire]; allgemeiner Teil des Obligationenrechts; Schweiz; Grundlagenwerk,,None
12091,Intégration et inclusion scolaire : du déclaratif à leur mise en oeuvre /,nan,Impr Réunies Lausanne; Conférence des directeurs des Hautes écoles pédagogiques et institutions assimilées de Suisse romande et du Tessin,intégration scolaire--jeune en difficulté--Suisse--[études diverses]; intégration scolaire--politique de l'éducation--Suisse--[études diverses]; intégration scolaire--[études diverses],,None
12111,Handbook of cross-cultural psychology /,nan,Allyn and Bacon,,9781635503180,Google
12134,"Prêt entre bibliothèques : pour les détails du document, se renseigner à la bibliothèque",nan,Gymnase de Nyon,,,None
12143,Security analysis. Principles and technique.,"Graham, Benjamin",McGraw-Hill Book Co,capital--marché des capitaux,9780071623551,Google
12146,"Le statut juridique de l'air : fondements pour une théorie de l'air en tant que chose commune, en droit suisse et international /","Largey, Thierry 1972-....",Stämpfli,Luft; Rechtslage; Sachenrecht; Eigentum; öffentliche Sache; Treibhausgas; Windenergie; rechtliches Monopol; faktisches Monopol; international; Schweiz,9783727204982,Google
12148,"Matériaux pour l'histoire de l'environnement en Suisse : patrimoine, écologisme et environnement (1815-1998) : chronologie commentée /","Miller, Roland de",Office fédéral de l'environnement des forêts et du paysage,environnement - protection--Suisse--1815 / 1998; Natur- und Heimatschutz; Ökologie; Umweltschutz; Geschichte; Wissenschaft und Forschung; 1815-1998; Schweiz; Chronik,,None
12153,L Theorie : Lern-Programm  =  Didacticiel,nan,CTM,Conduite automobile--Étude et enseignement--Suisse; DVD,,None
12154,Repertorium der diplomatischen Vertreter aller Länder seit dem Westfälischen Frieden = Repertory of the diplomatic representatives of all countries since the Peace of Westphalia = Répertoire des représentants diplomatiques de tous les pays depuis la paix de Westphalie /,nan,Fretz und Wasmuth; G Stalling,diplomatie--Europe--1648 / 1815--[répertoire],,None
12217,Répertoire de peintures du Moyen-Age et de la Renaissance (1280-1580) /,"Reinach, Salomon",E Leroux,peinture européenne--1280 / 1580--[répertoire],,None
12221,Il codice Ambrosiano B 9 inf. e le lettere di Jacopo Corbinelli a Gian Vincenzo Pinelli : interessi eruditi e storici tra e Francia (1566-1578) /,"Bianchi, Maria Grazia",éditeur non identifié,"Corbinelli, Jacopo; Pinelli, Gian Vincenzo; Correspondance; Thèses et écrits académiques",,None
12223,Anti-impérialisme et nouvelle gauche radicale dans la Suisse des années 68 /,"Pereira, Nuno Miguel",éditeur non identifié,Anti-impérialisme; Extrême gauche; Années 1960; Suisse; [Thèses et écrits académiques],,None
12224,Lux perpetua /,"Cumont, Franz",Impr Chabloz; P Geuthner,au-delà--Antiquité; funérailles--Antiquité,,None
12225,Le sens de la création : un essai de justification de l'homme /,"Berdi︠a︡ev, Nikolaĭ Aleksandrovich",Desclée de Brouwer,création (théologie)--homme (être humain),,None
12234,Oeuvres complètes /,"Péret, Benjamin",puis Libr J Corti; E Losfeld,,9782714303189,OpenLibrary
12260,"Le partage du contentieux administratif entre le juge civil et le juge administratif : étude de droit vaudois, historique et comparée /","Blanchard, Thibault",Bis et Ter,juridiction administrative--juridiction civile--procédure administrative--Suisse--Vaud (Suisse); Verwaltungs- und Verwaltungsgerichtsverfahren; Zivilgericht; Verwaltungsgericht; Verhältnis zwischen; Zuständigkeit; Kompetenzkonflikt; Rechtsgeschichte; kantonales Recht; Schweiz; Waadt,,None
12263,Les prisons vaudoises : (1798-1871) /,"Anselmier, Henri",Bibliothèque historique vaudoise,prison--Vaud (Suisse)--1798 / 1871; Straf- und Massnahmenvollzug; Strafanstalt; Rechtsgeschichte; 18. Jahrhundert; 19. Jahrhundert; Schweiz; Waadt,,None
12268,"Sous la mer : lecture, logique, inférence : 3e cycle /","Gagné, Nancy",Passe-Temps date de publication non identifiée,Jeux éducatifs; Jeux mathématiques; Lecture--Étude et enseignement; Problèmes et exercices,,None
12271,Le calcul de doses sans erreur : pour une pratique aisée et sûre /,"Jeanguiot, Nicole",Estem,calcul de dose (soins infirmiers)--[manuel],,None
12296,L'enfant en Valais 1815-2015 : annales valaisannes 2016 /,nan,Société d'histoire du Valais romand,,,None
12321,Les choses : une histoire des années soixante /,"Perec, Georges",Julliard,,,None
12335,Hygiène publique /,"Schmid, Friedrich, 1850-1916",KJ Wyss,hygiène publique--Suisse--[bibliographie]; Hygiene; Public Health; Sanitation; Switzerland; Bibliography,,None
12350,Traité de droit civil comparé /,"Roguin, Ernest",F Rouge; Libr générale de droit et de jurisprudence F Pichon & Durand-Auzias,successions (droit)--* droit comparé; internationales Privatrecht; Schweiz,,None
12355,"L'""aura italiana"" : culture e letterature d'oltrefrontiera, frontiera e minoranze /","Buogo, Mariangela",Il Veltro,Littérature suisse de langue italienne; Littérature italienne--A l'étranger,,None
12362,Guerre et paix /,"Tolstoĭ, Lev Nikolaevich",P-V Stock,,9798601668408,OpenLibrary
12375,La responsabilité pour le dommage purement économique /,"Misteli, Christophe",Schulthess,dommage--responsabilité (droit)--Suisse; Begriff; Haftung aus unerlaubter Handlung; privatrechtliche Haftung; reiner Vermögensschaden; Schweiz,,None
12402,Esquisse d'une théorie de la pratique ; précédé de Trois études d'ethnologie kabyle /,"Bourdieu, Pierre",Librairie Droz,kabyle (peuple)--* sociologie; recherche scientifique--recherche sur le terrain - théorie--sciences humaines,9786053995388,OpenLibrary
12406,L'existentialisme est un humanisme /,"Sartre, Jean-Paul",Gallimard,,9782070329137,OpenLibrary
12461,Saint-Gervais : trente ans de culture à Genève /,"Maitre, Maryvonne",Impr Corbaz; Saint-Gervais-Genève Ed,Maison des jeunes et de la culture Saint-Gervais Genève--1963 / 1993,,None
12470,Les écoles vaudoises à la fin du régime bernois /,"Panchaud, Georges, Dr ès lettres",Librairie de l'Université F Rouge & Cie,enseignement--Vaud (Suisse)--18e s.,,None
12484,Systême anatomique /,"Cloquet, Hippolite",chez Mme veuve Agasse; chez Plomteux; chez Panckoucke,,9780270684698,OpenLibrary
12486,Le Livre des morts des anciens Egyptiens /,nan,Ed du Cerf,"religion égyptienne--""Livre des morts égyptien""--Nouvel Empire égyptien",,None
12492,Diplomata Karolinorum : Faksimile-Ausgabe der in der Schweiz liegenden originalen Karolingerdiplome /,nan,Alkuin-Verlag,charte--Empire carolingien--[document]; paléographie latine--8e s. / 11e s.--[document],,None
12493,Imaginary conversations of literary men and statesmen,"Landor, Walter Savage",Taylor and Hessey,,,None
12519,Guerre des Gaules /,"Caesar, Caius Julius",Les Belles Lettres,,,None
12520,Recherches sur les armées hellénistiques /,"Launey, Marcel",E de Boccard,Grèce antique.--Armée--époque hellénistique; armée--époque hellénistique,9782701800332,OpenLibrary
12527,Vies des douze Césars /,"Suetonius Tranquillus, Caius",Les Belles Lettres,,9782080705532,OpenLibrary
12528,Vies des douze Césars /,"Suetonius Tranquillus, Caius",Les Belles Lettres,,9782080705532,OpenLibrary
12530,The prae-italic dialects of Italy /,"Conway, Robert Seymour",Harvard University Press,,,None
12551,Constitution fédérale de la Confédération suisse : du 18 avril 1999 (état le 1er janvier 2021) /,nan,Diffusion OFCL; Chancellerie fédérale,Verfassungsrecht; Bundesrecht; Bundesverfassung; Schweiz; Textreproduktion,,None
12564,Histoire de la Suisse /,"Michaud, Georges",Payot,Suisse--1291 / 1918--[manuel],9782130439592,OpenLibrary
12574,"Document non enregistré, emprunté par fiche de prêt : pour les détails, se renseigner à la bibliothèque",nan,Gymnase de Nyon,,,None
12616,Je joue aux cartes : Découvrir l'écriture minuscule et majuscule scripte /,nan,Récréalire,Lecture--Étude et enseignement; Manuels d'enseignement primaire,,None
12636,Opere di Francesco D'Ovidio.,"D'Ovidio, Francesco",A Guida,versification italienne--[études diverses],,None
12642,Droit suisse de la SARL /,"Montavon, Pascal",Ed juridiques AMC,société à responsabilité limitée--* droit--Suisse; Gesellschaft mit beschränkter Haftung; Schweiz; Grundlagenwerk,,None
12658,Inefficacité du titre d'aliénation et renaissance de l'action réelle mobilière /,"Rochat, Frédéric",Impr Chabloz; Schulthess,propriété mobilière - transfert--Suisse; action (procédure)--aliénation--propriété mobilière - transfert--* procédure civile--Suisse; Fahrniseigentum; Eigentumserwerb; Verpflichtungsgeschäft; Verpflichtungsgrund; Nichtigkeit; Schweiz,,None
12659,Grandes figures et grandes oeuvres juridiques : [leçons données aux cours généraux de l'Université de Genève pendant le semestre d'hiver 1946/1947],nan,Georg,"Justinien--(empereur byzantin ;--1); Huber, Eugen--Suisse. ""Code civil""; Marsile--(de Padoue).--""Defensor pacis""; droit grec antique--Solon; droit pénal--Beccaria, Cesare; droit des gens--Grotius, Hugo; Festschrift",,None
12660,La cession des créances en droit suisse /,"Alaï, Djafar",Granchamp; éditeur non identifié,Abtretung einer Forderung(OR); Schweiz,,None
12661,Animus donandi : concetto romano e suoi rifflessi sulla dogmatica odierna /,"Broise, Sergio",Pacini,donation--* droit romain,,None
12663,Legatum kalendarii : mutuo feneratizio e struttura contabile del patrimonio nell'età del principato /,"Giliberti, Giuseppe",E Jovene,,,None
12664,La novazione nel diritto romano /,"Bonifacio, Franco",E Jovene,novation (droit)--obligations (droit)--* droit romain,,None
12686,Frédéric II et Marie-Thérèse : d'après des documents nouveaux : 1740-1742 /,"Broglie, Albert de",Calmann Lévy,Frédéric--(roi de Prusse ;--2); Marie-Thérèse--(d'Autriche ;--reine de France); Histoire; 18e siècle,,None
12701,"Agents and actions in classical Tibetan : the indigenous grammarians on ""bdag"" and ""gźan"" and ""bya byed las gsum"" /","Tillemans, Tom J.F",Arbeitskreis für tibetische und buddhistische Studien Universität Wien,tibétain (langue)--verbe,,None
12736,Droit suisse de la SA /,"Montavon, Pascal",Ed juridiques AMC,société anonyme--* droit--Suisse--[manuel]; Aktiengesellschaft; Schweiz; Grundlagenwerk,,None
12756,Code pénal suisse : [du 21 décembre 1937 (état le 1er janvier 2023)] /,nan,Diffusion OFCL; Chancellerie fédérale,Strafrecht; Strafgesetzbuch; Schweiz; Textreproduktion,,None
12758,"Locarno e il suo circolo : (Locarno, Solduno, Muralto e Orselina) /","Gilardoni, Virgilio",Birkhäuser,"monument historique--Locarno (Suisse, région, TI); Kunst und Kultur; Kunstgeschichte; Denkmal; Schweiz; Tessin(Kanton)",,None
12767,Elixir de vie : guide pratique /,"Schmidt, Claire-Véronique écrivaine",Editions Sophianisis,Phytothérapie; Minéraux; Thérapeutique; [Guides pratiques et mémentos],,None
12795,Le monde enchanté de Walt Disney. Photographies et illustrations Walt Disney Studio.,nan,Ed du Livre de Paris,,,None
12803,Oeuvres /,"Marx, Karl, 1818-1883",Gallimard,,,None
12809,Quaestiones in secundum librum sententiarum /,"Olivi, Petrus Johannis",Collegium S Bonaventurae,,,None
12847,Les beaux jours reviendront : roman /,"Pagani, Rémy",Impr Corbaz; R Pagani,,,None
12858,Sidoine Apollinaire /,"Sidonius, Caius Sollius Modestus Apollinaris",Les Belles lettres,,,None
12898,La justice militaire des troupes suisses en France sous l'Ancien Régime : d'après des documents conservés aux archives de Berne et de Paris /,"Salerian-Saugy, Ghougas",Jouve,service militaire étranger suisse--tribunal militaire--France--16e s. / 18e s.,,None
12923,Oeuvres de Champlain /,"Champlain, Samuel de",Ed du Jour,"Champlain, Samuel de; voyage d'exploration--Champlain, Samuel de--Canada--1604 / 1629--[document]; voyage d'exploration--Antilles--1599 / 1601--[document]",9780665268342,OpenLibrary
12924,Etudes sur l'histoire de la pauvreté : (Moyen Age - XVIe siècle) /,nan,Publ de la Sorbonne,pauvreté--Europe--Moyen-Âge / 16e s.--[études diverses],,None
12925,La succession testamentaire dans le Pays de Vaud à l'époque savoyarde : XIIIe - XVIe siècle /,"Poudret, Jean-François",Nouvelle bibliothèque de droit et de jurisprudence,droit--testament--Vaud (Suisse)--13e s. / 16e s.,,None
12930,Le Pays de Vaud vers 1300 : cours public /,nan,Faculté des lettres Université de Lausanne section d'histoire,Vaud (Suisse)--1300--[études diverses],,None
12937,"Le colonel fasciste suisse, Arthur Fonjallaz /","Cantini, Claude",P-M Favre,"Fonjallaz, Arthur--[biographie]; fascisme--Fédération fasciste suisse--Suisse--1927 / 1941--[document]",,None
12951,The development of the Italian schools of painting /,"Marle, Raimond van",M Nijhoff,,9789401534376,OpenLibrary
12952,Documenti per la Storia dell'Arte Senese /,nan,Davaco,art italien--Sienne (Italie),,None
12953,Nuovi Documenti per la Storia dell'Arte Senese /,nan,Davaco,art italien--Sienne (Italie),,None
12958,Storia dell'arte italiana / Index / by Jacqueline D. Sisson,nan,Kraus-Thomson organization; U Hoepli,art italien--4e s. / 16e s.,,None
12980,Le sophiste /,"Plato, ca. 427- ca. 348 av. J.-C",Les Belles Lettres,,9782070354269,OpenLibrary
12986,La Mission romande : ses racines dans le sol suisse romand : son épanouissement dans la race thonga /,"Grandjean, Arthur",Fischbacher; G Bridel,"mission protestante--Suisse romande--1815 / 1917; mission protestante suisse--Thonga (peuple)--1872 / 1917; Tsonga (peuple d'Afrique); Missions suisses; Églises protestantes; 19e siècle-1916; Transvaal (Afrique du Sud, république); Suisse romande; Maputo (Mozambique)",,None
12987,1798-1998 : deux siècles de représentations extérieures de la Suisse /,"Altermatt, Claude",DFAE,politique étrangère--Suisse--1798 / 1998; diplomatie--Suisse--1798 / 1998,,None
13009,[Movement ABC-2 Movement Assessment Battery for children - 2],nan,,Ergothérapie,,None
13010,[DTVP-3] [developmental Test of Visual Perception],nan,,Ergothérapie,,None
13011,[BHK] [échelle d'évaluation rapide de l'écriture chez l'enfant],nan,,Ergothérapie,,None
13028,A history of French dramatic literature in the seventheenth century /,"Lancaster, Henry Carrington",Presses Univ; J Hopkin,théâtre français--17e s.--[manuel],,None
13034,Le buste monétaire des empereurs romains /,"Bastien, Pierre, 1912-",Ed Numismatique romaine,,,None
13044,Présentation de Sacher-Masoch : le froid et le cruel /,"Deleuze, Gilles",Ed de Minuit,"Sacher-Masoch, Leopold von; masochisme--sadisme",9782707331144,Google
13045,Le liber pontificalis /,nan,E de Boccard,papauté--5e s. / 15e s.--[document],,None
13049,"Madame de Staël et l'Europe : Colloque de Coppet, 18-24 juillet 1966, organisé pour la célébration du deuxième centenaire de la naissance de Madame de Staël, 1766-1966",nan,Klincksieck,"Staël, Germaine de--[congrès]",,None
13094,"La chair, la mort et le diable dans la littérature du 19e siècle : le romantisme noir /","Praz, Mario",Denoël,érotisme--littérature européenne--romantisme; littérature européenne--mort--romantisme; diable--littérature européenne--romantisme,,None
13095,Oeuvres complètes /,"Balzac, Honoré de",G Le Prat,,,None
13103,Le culte d'Isis dans le bassin oriental de la Méditerranée,"Dunand, Françoise",EJ Brill,Isis - culte--Méditerranée (bassin) - est--époque des conquêtes romaines,9789004035812,OpenLibrary
13104,Herodotus Book II /,"Lloyd, Alan Brian",EJ Brill,"Hérodote.--""Histoires.--2""--Egypte antique",9781853991851,OpenLibrary
13116,Pompei alla luce degli scavi nuovi di via dell'abbondanza. Anni 1910-1923,"Spinazzola, Vittorio",La libreria dello stato,Pompéi (Italie),,None
13138,Pratiques éducatives familiales et écriture du for privé en Suisse romande : (1750-1920) /,"Moret Petrini, Sylvie",éditeur non identifié,Histoire moderne et contemporaine; Éducation familiale; 1750-1820; Pédagogie; Famille et école; Assistance éducative; Rôle parental; Socialisation; Suisse romande; [Thèses et écrits académiques],,None
13151,L'éloge du vin : poème mystique /,"Ibn al-Fāriḍ, ʿUmar ibn ʿAlī, ca. 1181-1235",Les Ed Véga,soufisme,,None
13170,Les Suisses dans les guerres d'Italie de 1506 à 1512 /,"Kohler, Charles",A Picard; Georg; J Jullien,Suisse--guerres d'Italie,,None
13175,Histoires /,"Polybius, Megalopolitanus",Les Belles Lettres,,9782070735396,OpenLibrary
